group,age,sample_id,n_roi_noncell_voxels,n_roi_noncell_nonzero,mean_AT8,std_AT8,median_AT8,AT8_positive_ratio_2std,AT8_positive_ratio_mean,AT8_positive_ratio_1std,total_cells,AT8_positive_cells_2std,AT8_positive_cells_mean,AT8_positive_cells_1std
PS19,4 Months,187,17580034,17580034,180.51104520048142,53.40778110239266,166.0,0.20194647201946472,0.7226277372262774,0.43795620437956206,411,83,297,180
PS19,4 Months,187,27269583,27269583,155.7096035901979,31.40372410693109,150.0,0.10869565217391304,0.8136645962732919,0.45652173913043476,322,35,262,147
PS19,4 Months,187,8811081,8811081,172.21671869773982,42.52702144009304,163.0,0.09090909090909091,0.7272727272727273,0.40082644628099173,242,22,176,97
PS19,4 Months,187,4701072,4701072,218.44813970090226,86.77592823920453,194.0,0.14864864864864866,0.6959459459459459,0.40540540540540543,148,22,103,60
PS19,4 Months,187,27022055,27022055,155.3446727867292,35.1024240089943,149.0,0.19484240687679083,0.8080229226361032,0.4498567335243553,349,68,282,157
PS19,4 Months,183,4930992,4930992,185.88752283516177,45.09621943876486,177.0,0.1925133689839572,0.7433155080213903,0.44385026737967914,187,36,139,83
PS19,4 Months,183,11649512,11649512,161.43634935094278,30.34215039357624,159.0,0.009868421052631578,0.6414473684210527,0.08552631578947369,304,3,195,26
PS19,4 Months,183,4036204,4036204,189.85056602689062,47.64725241934089,180.0,0.23333333333333334,0.7833333333333333,0.48333333333333334,120,28,94,58
PS19,4 Months,183,5461431,5461431,210.63619534880144,65.1234499699746,196.0,0.15028901734104047,0.7283236994219653,0.3930635838150289,173,26,126,68
PS19,4 Months,183,9649197,9649197,162.1184985652174,32.50342267230551,158.0,0.057692307692307696,0.7076923076923077,0.23076923076923078,260,15,184,60
PS19,4 Months,184,16477919,16477919,179.93005864393436,46.289060935535936,171.0,0.061224489795918366,0.763265306122449,0.31020408163265306,245,15,187,76
PS19,4 Months,184,6812684,6812684,166.57031868790625,47.94747697558473,156.0,0.3258426966292135,0.8539325842696629,0.5168539325842697,89,29,76,46
PS19,4 Months,184,14969395,14969395,170.29847478805922,37.47546198002748,163.0,0.1059322033898305,0.8305084745762712,0.3983050847457627,236,25,196,94
PS19,4 Months,184,6015439,6015439,201.58345417516495,61.51257138911694,185.0,0.2033898305084746,0.847457627118644,0.5932203389830508,118,24,100,70
PS19,4 Months,184,12782589,12782589,157.52504433960914,29.763765245605676,152.0,0.15168539325842698,0.7640449438202247,0.46629213483146065,178,27,136,83
PS19,4 Months,20,4413061,4413061,224.43077356057395,82.46600888363682,212.0,0.029411764705882353,0.6838235294117647,0.23529411764705882,136,4,93,32
PS19,4 Months,20,10418465,10418465,171.82634399597254,60.24755208882116,164.0,0.02766798418972332,0.6245059288537549,0.16205533596837945,253,7,158,41
PS19,4 Months,20,4981379,4981379,187.94720016284649,48.08395205904327,179.0,0.1125,0.63125,0.275,160,18,101,44
PS19,4 Months,20,51556314,51556314,155.23050521028327,37.94935119055123,149.0,0.1308562197092084,0.7172859450726979,0.23909531502423265,619,81,444,148
PS19,4 Months,20,29613473,29613473,187.04570446701743,52.51570244235028,176.0,0.08967851099830795,0.5313028764805414,0.20812182741116753,591,53,314,123
PS19,4 Months,186,10436248,10436248,171.18614927510347,27.25638867574945,169.0,0.02197802197802198,0.684981684981685,0.11721611721611722,273,6,187,32
PS19,4 Months,186,6984821,6984821,140.77517247757675,22.756025426628952,139.0,0.012578616352201259,0.6666666666666666,0.07547169811320754,159,2,106,12
PS19,4 Months,186,30857187,30857187,161.44311365776795,50.973747315742834,159.0,0.04081632653061224,0.7687074829931972,0.15419501133786848,441,18,339,68
PS19,4 Months,186,25732219,25732219,207.0563237861453,61.69273903369597,194.0,0.14645308924485126,0.6544622425629291,0.35697940503432496,437,64,286,156
PS19,4 Months,186,5567285,5567285,181.5051372437373,30.37320431395043,179.0,0.0223463687150838,0.7262569832402235,0.1452513966480447,179,4,130,26
PS19,9 Months,37,5096858,5096858,460.71207850012695,362.81588984376754,385.0,0.14772727272727273,0.6818181818181818,0.3068181818181818,88,13,60,27
PS19,9 Months,37,98117547,98117547,240.3566249062464,137.47962520322557,232.0,0.017241379310344827,0.535632183908046,0.05517241379310345,870,15,466,48
PS19,9 Months,37,66963683,66963683,210.0607593073995,124.95635537457648,180.0,0.0239880059970015,0.5007496251874063,0.08995502248875563,667,16,334,60
PS19,9 Months,37,60411301,60411301,290.062899489617,163.2250390702264,261.0,0.03535353535353535,0.6338383838383839,0.08080808080808081,396,14,251,32
PS19,9 Months,37,80024988,80024988,234.8099097122014,153.48486865751875,216.0,0.01943198804185351,0.5321375186846039,0.07025411061285501,669,13,356,47
PS19,9 Months,46,13479314,13479314,200.68563355672254,144.73705833240905,174.0,0.06093189964157706,0.5376344086021505,0.1111111111111111,279,17,150,31
PS19,9 Months,46,28012499,28012499,212.66017408871662,120.38835736295188,196.0,0.04811715481171548,0.6631799163179917,0.08577405857740586,478,23,317,41
